Ex_date,Ticker,Company,Payment_per_year,Dividend,Yield,Announced,Record,Payable
2023-05-25,GOGL,Golden Ocean Group,4,0.1,0.0468384074941452,2023-05-16,2023-05-26,2023-06-06
2023-05-25,CNAF,Comml National Finl,4,0.26,0.1061224489795918,2023-05-16,2023-05-26,2023-06-02
2023-05-25,FBIN,Fortune Brands,4,0.23,0.0140009131030285,2023-05-16,2023-05-26,2023-06-14
2023-05-25,DAC,Danaos,4,0.75,0.0530222693531283,2023-05-15,2023-05-26,2023-06-07
2023-05-25,JKHY,Jack Henry & Associates,4,0.52,0.0133495924523458,2023-05-15,2023-05-26,2023-06-15
2023-05-25,FXNC,First Ntl,4,0.15,0.0421052631578947,2023-05-10,2023-05-26,2023-06-09
2023-05-25,PSEC,Prospect Capital,12,0.06,0.1063515509601182,2023-04-28,2023-05-26,2023-06-21
2023-05-25,VMC,Vulcan Materials,4,0.43,0.0088282092080275,2023-05-12,2023-05-26,2023-06-09
2023-05-25,CRD/B,Crawford & Company Common Stock,4,0.06,0.0282685512367491,2023-05-12,2023-05-26,2023-06-09
2023-05-25,CRD/A,Crawford & Company Common Stock,4,0.06,0.0251046025104603,2023-05-12,2023-05-26,2023-06-09
2023-05-25,MAR,Marriott Intl,4,0.52,0.011920453894206,2023-05-12,2023-05-26,2023-06-30
2023-05-25,HRI,Herc Hldgs,4,0.6325,0.025317722405684,2023-05-12,2023-05-26,2023-06-09
2023-05-25,AVA,Avista,4,0.46,0.0414041404140414,2023-05-11,2023-05-26,2023-06-15
2023-05-25,MAS,Masco,4,0.285,0.021412471825695,2023-05-11,2023-05-26,2023-06-12
2023-05-25,MATV,Mativ Holdings,4,0.4,0.0965600482800241,2023-05-10,2023-05-26,2023-06-23
2023-05-25,IP,International Paper,4,0.4625,0.0571340333539222,2023-05-09,2023-05-26,2023-06-15
2023-05-25,NBHC,National Bank Holdings,4,0.26,0.0369318181818182,2023-05-09,2023-05-26,2023-06-15
2023-05-25,CBT,Cabot,4,0.4,0.0224340998317443,2023-05-08,2023-05-26,2023-06-09
2023-05-25,CTRA,Coterra Energy,4,0.2,0.0329082682023858,2023-05-03,2023-05-26,2023-06-09
2023-05-25,KOP,Koppers Hldgs,4,0.06,0.0074906367041199,2023-05-04,2023-05-26,2023-06-12
2023-05-25,PWP,Perella Weinberg,4,0.07,0.0391608391608392,2023-05-04,2023-05-26,2023-06-09
2023-05-25,USLM,United States Lime,4,0.2,0.0049495761925385,2023-05-03,2023-05-26,2023-06-16
2023-05-25,NUS,Nu Skin Enterprises,4,0.39,0.039136979427998,2023-05-03,2023-05-26,2023-06-07
2023-05-25,SPGI,S&P Global,4,0.9,0.0101117914723892,2023-05-03,2023-05-26,2023-06-12
2023-05-25,HII,Huntington Ingalls Indus,4,1.24,0.0245350217649387,2023-05-02,2023-05-26,2023-06-09
2023-05-25,WEYS,Weyco Group,4,0.25,0.0377073906485671,2023-05-02,2023-05-26,2023-06-30
2023-05-25,PDM,Piedmont Office Realty,4,0.21,0.1290322580645161,2023-05-01,2023-05-26,2023-06-16
2023-05-25,SBAC,SBA Comms,4,0.85,0.0130323124688566,2023-05-01,2023-05-26,2023-06-21
2023-05-25,BMI,Badger Meter,4,0.225,0.0067755778062185,2023-04-28,2023-05-26,2023-06-09
2023-05-25,J,Jacobs Solutions,4,0.26,0.0092313154624534,2023-04-27,2023-05-26,2023-06-23
2023-05-25,STRA,Strategic Education,4,0.6,0.025974025974026,2023-04-27,2023-05-26,2023-06-05
2023-05-25,RS,Reliance Steel & Aluminum,4,1.0,0.0160057620743468,2023-04-25,2023-05-26,2023-06-09
2023-05-25,EVR,Evercore,4,0.76,0.0248772504091653,2023-04-25,2023-05-26,2023-06-09
2023-05-25,SMG,Scotts Miracle Gro,4,0.66,0.0372828696511792,2023-04-24,2023-05-26,2023-06-09
2023-05-25,FTV,Fortive,4,0.07,0.0043269973728945,2023-04-06,2023-05-26,2023-06-30
2023-05-24,CHE,Chemed,4,0.38,0.0027779808465531,2023-05-15,2023-05-25,2023-06-14
2023-05-24,TPG,TPG,4,0.2,0.0294225818315557,2023-05-15,2023-05-25,2023-06-05
2023-05-24,BRN,Barnwell Industries,4,0.015,0.0230769230769231,2023-05-15,2023-05-25,2023-06-12
2023-05-24,JBT,John Bean Techs,4,0.1,0.0038557933294775,2023-05-12,2023-05-25,2023-06-08
2023-05-24,HEES,H&E Equipment Servs,4,0.275,0.0312056737588652,2023-05-12,2023-05-25,2023-06-09
2023-05-24,VAC,Marriott Vacations,4,0.72,0.0230363141897296,2023-05-11,2023-05-25,2023-06-08
2023-05-24,VINP,Vinci Partners Inv,4,0.16,0.0781440781440781,2023-05-11,2023-05-25,2023-06-09
2023-05-24,ALV,Autoliv,4,0.66,0.0302232398397252,2023-05-10,2023-05-25,2023-06-13
2023-05-24,CSPI,CSP,4,0.04,0.0128720836685438,2023-05-10,2023-05-25,2023-06-13
2023-05-24,PMD,Psychemedics,4,0.07,0.0521415270018622,2023-05-09,2023-05-25,2023-06-08
2023-05-24,IGT,Intl Game Tech,4,0.2,0.0291970802919708,2023-05-09,2023-05-25,2023-06-08
2023-05-24,B,Barnes Gr,4,0.16,0.0156211862338296,2023-05-05,2023-05-25,2023-06-09
2023-05-24,EFX,Equifax,4,0.39,0.0078,2023-05-04,2023-05-25,2023-06-15
2023-05-24,SPOK,Spok Holdings,4,0.3125,0.0982704402515723,2023-05-03,2023-05-25,2023-06-23
2023-05-24,GFF,Griffon,4,0.125,0.0175994368180218,2023-05-03,2023-05-25,2023-06-15
2023-05-24,CDW,CDW,4,0.59,0.0140593351602526,2023-05-03,2023-05-25,2023-06-13
2023-05-24,LFUS,Littelfuse,4,0.6,0.0098457499179521,2023-05-02,2023-05-25,2023-06-08
2023-05-24,FWRD,Forward Air,4,0.24,0.0091954022988506,2023-04-28,2023-05-25,2023-06-13
2023-05-24,AMAT,Applied Mat,4,0.32,0.011189789317248,2023-03-13,2023-05-25,2023-06-15
2023-05-24,DFS,Discover Finl,4,0.7,0.0270192029335135,2023-04-19,2023-05-25,2023-06-08
2023-05-23,SLRC,SLR Inv,12,0.1367,0.1172551822730522,2023-05-10,2023-05-24,2023-06-01
2023-05-23,TTEK,Tetra Tech,4,0.26,0.0072232254479789,2023-05-10,2023-05-24,2023-06-06
2023-05-23,CAKE,Cheesecake Factory,4,0.27,0.0324714371617559,2023-05-10,2023-05-24,2023-06-06
2023-05-23,TER,Teradyne,4,0.11,0.0048372911169745,2023-05-11,2023-05-24,2023-06-16
2023-05-23,MFC,Manulife Financial,4,0.365,0.0547842401500938,2023-05-10,2023-05-24,2023-06-19
2023-05-23,GSL,Global Ship Lease,4,0.375,0.0829646017699115,2023-05-10,2023-05-24,2023-06-02
2023-05-23,EGY,VAALCO Energy,4,0.0625,0.0588235294117647,2023-05-09,2023-05-24,2023-06-23
2023-05-23,EE,Excelerate Energy,4,0.025,0.0046125461254613,2023-05-09,2023-05-24,2023-06-08
2023-05-23,BRMK,Broadmark Realty Capital,12,0.035,0.0860655737704918,2023-05-09,2023-05-24,2023-05-30
2023-05-23,L,Loews,4,0.0625,0.0042509777248767,2023-05-09,2023-05-24,2023-06-06
2023-05-23,VTRS,Viatris,4,0.12,0.0532150776053215,2023-05-05,2023-05-24,2023-06-16
2023-05-23,EQIX,Equinix,4,3.41,0.0193978696474537,2023-05-03,2023-05-24,2023-06-21
2023-05-23,BKOR,Oak Ridge Finl Servs,4,0.1,0.0228571428571429,2023-05-02,2023-05-24,2023-06-09
2023-05-23,IR,Ingersoll Rand,4,0.02,0.0014005602240896,2023-05-02,2023-05-24,2023-06-22
2023-05-23,AMCR,Amcor,4,0.1225,0.0443037974683544,2023-05-02,2023-05-24,2023-06-20
2023-05-23,FBP,First BanCorp,4,0.14,0.0483175150992235,2023-04-27,2023-05-24,2023-06-09
2023-05-23,HIE,Miller/Howard High Income,12,0.051,0.0608955223880597,2023-04-03,2023-05-24,2023-05-31
2023-05-23,TEAF,Tortoise Essential Assets,12,0.09,0.082004555808656,2023-02-09,2023-05-24,2023-05-31
2023-05-22,ADTN,Adtran,4,0.09,0.0411428571428571,2023-05-08,2023-05-23,2023-06-06
2023-05-22,PFIN,P & F Industries,4,0.05,0.0389863547758285,2023-05-10,2023-05-23,2023-06-01
2023-05-22,HNNA,Hennessy Advisors,4,0.1375,0.077247191011236,2023-05-10,2023-05-23,2023-06-05
2023-05-22,WLK,Westlake,4,0.357,0.0125925925925926,2023-05-12,2023-05-23,2023-06-08
2023-05-22,GER,Goldman Sachs MLP,4,0.24,0.0758593441327539,2023-05-12,2023-05-23,2023-05-31
2023-05-22,WMG,Warner Music Gr,4,0.16,0.0247582205029014,2023-05-12,2023-05-23,2023-06-01
2023-05-22,FSCO,FS Credit Opp,12,0.0495,0.1384615384615385,2023-05-11,2023-05-23,2023-05-31
2023-05-22,WYNN,Wynn Resorts,4,0.25,0.0088683930471799,2023-05-09,2023-05-23,2023-06-06
2023-05-22,SPB,Spectrum Brands Holdings,4,0.42,0.0233333333333333,2023-05-10,2023-05-23,2023-06-08
2023-05-22,FMN,Federated Hermes Premier,12,0.0385,0.0432179607109448,2023-05-10,2023-05-23,2023-06-01
2023-05-22,NDSN,Nordson,4,0.65,0.0119931731168412,2023-05-10,2023-05-23,2023-06-06
2023-05-22,PRU,Prudential Financial,4,1.25,0.0605546808768318,2023-05-09,2023-05-23,2023-06-15
2023-05-22,ORA,Ormat Technologies,4,0.12,0.0056757715501951,2023-05-09,2023-05-23,2023-06-06
2023-05-22,VLO,Valero Energy,4,1.02,0.0379959024026821,2023-05-09,2023-05-23,2023-06-22
2023-05-22,TPX,Tempur Sealy Intl,4,0.11,0.0116959064327485,2023-05-09,2023-05-23,2023-06-06
2023-05-22,SBSI,Southside Bancshares,4,0.35,0.0492784230904611,2023-05-04,2023-05-23,2023-06-06
2023-05-22,PBI,Pitney Bowes,4,0.05,0.0609756097560976,2023-05-04,2023-05-23,2023-06-08
2023-05-22,GEHC,GE HealthCare Techs,4,0.03,0.0013668982799863,2023-04-25,2023-05-23,2023-06-15
2023-05-22,PFD,Flaherty & Crumrine Prefd,12,0.0575,0.0654028436018957,2023-04-20,2023-05-23,2023-05-31
2023-05-22,PFO,Flaherty & Crumrine Prfd,12,0.047,0.0689596146086786,2023-04-20,2023-05-23,2023-05-31
2023-05-22,FFC,Flaherty & Crumrine,12,0.087,0.0729050279329609,2023-04-20,2023-05-23,2023-05-31
2023-05-22,FLC,Flaherty & Crumrine Total,12,0.089,0.0711525649566955,2023-04-20,2023-05-23,2023-05-31
