Ex_date,Ticker,Company,Payment_per_year,Dividend,Yield,Announced,Record,Payable
5/25/2023,CRD/B,Crawford & Company Common Stock,4,0.06,0.028268551,5/12/2023,5/26/2023,6/9/2023
5/25/2023,CRD/A,Crawford & Company Common Stock,4,0.06,0.025104603,5/12/2023,5/26/2023,6/9/2023
5/25/2023,MAR,Marriott Intl,4,0.52,0.011920454,5/12/2023,5/26/2023,6/30/2023
5/25/2023,HRI,Herc Hldgs,4,0.6325,0.025317722,5/12/2023,5/26/2023,6/9/2023
5/25/2023,EMBC,Embecta,4,0.15,0.020746888,5/12/2023,5/29/2023,6/13/2023
5/25/2023,AVA,Avista,4,0.46,0.04140414,5/11/2023,5/26/2023,6/15/2023
5/25/2023,MAS,Masco,4,0.285,0.021412472,5/11/2023,5/26/2023,6/12/2023
5/25/2023,MATV,Mativ Holdings,4,0.4,0.096560048,5/10/2023,5/26/2023,6/23/2023
5/25/2023,IP,International Paper,4,0.4625,0.057134033,5/9/2023,5/26/2023,6/15/2023
5/25/2023,NBHC,National Bank Holdings,4,0.26,0.036931818,5/9/2023,5/26/2023,6/15/2023
5/25/2023,CBT,Cabot,4,0.4,0.0224341,5/8/2023,5/26/2023,6/9/2023
5/25/2023,CTRA,Coterra Energy,4,0.2,0.032908268,5/3/2023,5/26/2023,6/9/2023
5/25/2023,KOP,Koppers Hldgs,4,0.06,0.007490637,5/4/2023,5/26/2023,6/12/2023
5/25/2023,PWP,Perella Weinberg,4,0.07,0.039160839,5/4/2023,5/26/2023,6/9/2023
5/25/2023,USLM,United States Lime,4,0.2,0.004949576,5/3/2023,5/26/2023,6/16/2023
5/25/2023,NUS,Nu Skin Enterprises,4,0.39,0.039136979,5/3/2023,5/26/2023,6/7/2023
5/25/2023,SPGI,S&P Global,4,0.9,0.010111791,5/3/2023,5/26/2023,6/12/2023
5/25/2023,HII,Huntington Ingalls Indus,4,1.24,0.024535022,5/2/2023,5/26/2023,6/9/2023
5/25/2023,WEYS,Weyco Group,4,0.25,0.037707391,5/2/2023,5/26/2023,6/30/2023
5/25/2023,PDM,Piedmont Office Realty,4,0.21,0.129032258,5/1/2023,5/26/2023,6/16/2023
